Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,5.05649392145247E-09,4.27315165026958E-12,-2.01611571331233E-05,0,0,0,4.52938987497195,0.0118939827640073,7.15871816826577E-09,-4.53204723660032E-06,0.0117218966850848,1.37360470679196E-13,0.0193597795090014,0,0,0,0,0,0,package://mos2026/meshes/base.STL,1,1,1,1,0,0,0,0,0,0,package://mos2026/meshes/base.STL,,torso-2/trunk_cover_a-2;torso-2/trunk_cover_d-1;torso-2/trunk_cover_d-2;torso-2/beam-1;torso-2/bearing_holder-1;torso-2/beam-2;torso-2/bearing_holder-2;torso-2/motor_mount-2;torso-2/motor_mount-1;torso-2/trunk_cover_b-2;torso-2/trunk_cover_a-1;torso-2/trunk_cover_b-1;RL-1/8010motor-4;FL-3/8010motor-4;FR-8/8010motor-4;RR-1/8010motor-4;FR-8/tapered_roller_bearing254212-1;FL-3/tapered_roller_bearing254212-1;RR-1/tapered_roller_bearing254212-1;RL-1/tapered_roller_bearing254212-1,base_axis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL,-0.114292536133729,-0.00901538567016963,-0.000144060042943511,0,0,0,0.985180705625761,0.000917934574794374,-7.85870662446068E-09,-1.41358939679768E-07,0.00265898792183767,-3.88340374135963E-07,0.00208199931263449,0,0,0,0,0,0,package://mos2026/meshes/FL.STL,1,1,1,1,0,0,0,0,0,0,package://mos2026/meshes/FL.STL,,FL-3/leg_motor_mount_b-1;FL-3/hip_bearing_mount-1;FL-3/leg_motor_mount_a-1;FL-3/hip_motor_mount-2;FL-3/8010motor-2;FL-3/8010motor-1;FL-3/shaft_mount-1;FL-3/tapered_roller_bearing122713-2;FL-3/tapered_roller_bearing507215-1;FL-3/tapered_roller_bearing122713-1,fl_hip_csys,fl_hip_x_axis,fl_hip,revolute,-0.3783,-0.0979999999999995,0,0,0,3.14159265358979,base,-1,0,0,30,30,-1.57,1.57,,,,,,,,
fl_shank_motor_gear,-1.11022302462516E-16,-0.0390538870170144,1.36198508530231E-12,0,0,0,0.0385237466196057,9.47389810508477E-06,5.29845093318689E-21,-2.12595110944341E-21,1.02723402754827E-05,-2.78470764209272E-17,9.4738981050848E-06,0,0,0,0,0,0,package://mos2026/meshes/fl_shank_motor_gear.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://mos2026/meshes/fl_shank_motor_gear.STL,,FL-3/spur gear_gb-25;FL-3/calf_motor_shaft-1,fl_shank_motor_csys,fl_shank_motor_y_axis,fl_shank_motor_gear,revolute,-0.0659999999999999,0.0461500000000004,0,0,0,0,FL,0,-1,0,30,30,-1.57,1.57,,,,,,,,
fl_thigh_motor_gear,1.0547118733939E-15,-0.0303984035950153,1.05910803135311E-12,0,0,0,0.0482357390578153,1.0744281957417E-05,-1.13094903302382E-21,3.77027292956214E-21,1.25106445892168E-05,-6.16062272966921E-17,1.0744281957417E-05,0,0,0,0,0,0,package://mos2026/meshes/fl_thigh_motor_gear.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://mos2026/meshes/fl_thigh_motor_gear.STL,,FL-3/spur gear_gb-12;FL-3/thigh_motor_shaft-1,fl_thigh_motor_csys,fl_thigh_motor_y_axis,fl_thigh_motor_gear,revolute,-0.166,0.0461500000000006,0,0,0,0,FL,0,-1,0,30,30,-1.57,1.57,,,,,,,,
fl_thigh,-0.0416903933901684,-0.0064632107292911,-0.0228300255177057,0,0,0,0.218415843420328,0.000221343904808966,1.27557637909214E-05,-0.000243946682636573,0.000728917808892087,6.98517224053355E-06,0.000533232076940952,0,0,0,0,0,0,package://mos2026/meshes/fl_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://mos2026/meshes/fl_thigh.STL,,FL-3/thigh-1;FL-3/shaft_bushing-3;FL-3/spur gear_gb-24,fl_thigh_shaft_csys,fl_thigh_shaft_y_axis,fl_thigh,revolute,-0.116000000000001,0.0681500000000005,-0.0100999999999994,0,0,0,FL,0,-1,0,30,30,-1.57,1.57,,,,,,,,
fl_shank,0.0593975200633057,-0.00452547790834365,-0.0324504813274119,0,0,0,0.286222172424042,0.000479254852671004,-1.0172028096706E-06,0.00056942674331614,0.00130941968037278,6.74582701230381E-07,0.000845733345817378,0,0,0,0,0,0,package://mos2026/meshes/fl_shank.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mos2026/meshes/fl_shank.STL,,FL-3/outer_calf_link-1;FL-3/inner_calf_link-1;FL-3/foot-1;FL-3/foot_pad-1,fl_shank_csys,fl_shank_y_axis,fl_shank,revolute,-0.157877949289529,0.00799999999698522,-0.0864554979638718,0,0,0,fl_thigh,0,-1,0,30,30,-1.57,1.57,,,,,,,,
fl_shank_link_a,-0.0320756187166165,-0.015180035644836,0.0295945912641391,0,0,0,0.1715878074306,0.000229869575436704,5.24631850545217E-06,0.000197082687694454,0.000443409291341337,-4.83310621316946E-06,0.000263205169500584,0,0,0,0,0,0,package://mos2026/meshes/fl_shank_link_a.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://mos2026/meshes/fl_shank_link_a.STL,,FL-3/spur gear_gb-26;FL-3/middle_shaft-1;FL-3/calf_link_1-1,fl_shank_shaft_csys,fl_shank_shaft_y_axis,fl_shank_link,revolute,-0.115999999999999,0.0871500000000003,-0.0101000000000007,0,0,0,FL,0,-1,0,30,30,-1.57,1.57,,,,,,,,
fl_shank_link_b,-0.0608647621747758,-0.0128230771778003,-0.0391588632689955,0,0,0,0.0469389680162792,5.44206832307006E-05,-4.98881381915308E-07,-6.30822549942962E-05,0.000135875337881675,-3.19876245193812E-07,8.26639429301432E-05,0,0,0,0,0,0,package://mos2026/meshes/fl_shank_link_b.STL,1,1,1,1,0,0,0,0,0,0,package://mos2026/meshes/fl_shank_link_b.STL,,FL-3/calf_link_2-1,fl_shank_link_csys,fl_shank_link_y_axis,fl_shank_link_b,revolute,-0.115094298861383,-0.00600440930821269,0.105867942279402,0,0,0,fl_shank_link_a,0,1,0,30,30,-1.57,1.57,,,,,,,,
FR,-0.11429253613398,0.00901538566873267,0.000144060036829891,0,0,0,0.985180705784209,0.000917934575216329,7.85867529409155E-09,1.41358945277637E-07,0.00265898792205995,-3.88340391735502E-07,0.00208199931284305,0,0,0,0,0,0,package://mos2026/meshes/FR.STL,1,1,1,1,0,0,0,0,0,0,package://mos2026/meshes/FR.STL,,FR-8/hip_motor_mount-2;FR-8/leg_motor_mount_a-1;FR-8/8010motor-2;FR-8/leg_motor_mount_b-1;FR-8/8010motor-1;FR-8/hip_bearing_mount-1;FR-8/shaft_mount-1;FR-8/tapered_roller_bearing122713-1;FR-8/tapered_roller_bearing507215-1;FR-8/tapered_roller_bearing122713-2,fr_hip_csys,fr_hip_x_axis,fr_hip,revolute,-0.3783,0.0980000000000001,0,0,0,3.14159265358979,base,-1,0,0,0,0,-1.57,1.57,,,,,,,,
fr_shank_motor_gear,-5.55111512312578E-17,0.0390538870170144,-1.36198319948934E-12,0,0,0,0.0385237466196057,9.47389810508479E-06,-7.92783726446822E-21,2.04533331169127E-21,1.02723402754827E-05,-2.78475117663374E-17,9.47389810508479E-06,0,0,0,0,0,0,package://mos2026/meshes/fr_shank_motor_gear.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://mos2026/meshes/fr_shank_motor_gear.STL,,FR-8/spur gear_gb-25;FR-8/calf_motor_shaft-1,fr_shank_motor_csys,fr_shank_motor_y_axis,fr_shank_motor,revolute,-0.0659999999999999,-0.04615,0,0,0,0,FR,0,1,0,0,0,-1.57,1.57,,,,,,,,
fr_thigh_motor_gear,6.2977401071862E-14,0.0303984035950154,-1.01871872787743E-12,0,0,0,0.0482357390578153,1.0744281957417E-05,4.06774169890737E-21,1.31374117394879E-21,1.25106445892168E-05,-6.16020892086416E-17,1.0744281957417E-05,0,0,0,0,0,0,package://mos2026/meshes/fr_thigh_motor_gear.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://mos2026/meshes/fr_thigh_motor_gear.STL,,FR-8/spur gear_gb-12;FR-8/thigh_motor_shaft-1,fr_thigh_motor_csys,fr_thigh_motor_y_axis,fr_thigh_motor,revolute,-0.166,-0.0461500000000002,0,0,0,0,FR,0,1,0,0,0,-1.57,1.57,,,,,,,,
fr_thigh,-0.0501293230229697,0.00726172196508906,-0.00458390111741024,0,0,0,0.206239284598664,9.78789072068297E-05,-1.44826941762321E-05,-5.25111543739145E-05,0.000712386599732417,-1.32431731685483E-06,0.000667338949843217,0,0,0,0,0,0,package://mos2026/meshes/fr_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://mos2026/meshes/fr_thigh.STL,,FR-8/thigh-1;FR-8/spur gear_gb-26;FR-8/middle_shaft-1,fr_thigh_shaft_csys,fr_thigh_shaft_y_axis,fr_thigh,revolute,-0.116000000000216,-0.0681499999996478,0.0101000000022701,0,0,0,FR,0,1,0,0,0,-1.57,1.57,,,,,,,,
fr_shank,0.0355820905118116,0.000520992724911462,-0.0575760634847314,0,0,0,0.286223346928414,0.0010583374401469,5.50911524665595E-07,0.000448486984623419,0.00130942881887883,-1.09029831117933E-06,0.000266659961834781,0,0,0,0,0,0,package://mos2026/meshes/fr_shank.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mos2026/meshes/fr_shank.STL,,FR-8/outer_calf_mirror-1;FR-8/inner_calf_mirror-1;FR-8/foot_mirror-1;FR-8/foot_pad-1,fr_shank_csys,fr_shank_y_axis,fr_shank,revolute,-0.179252155931131,-0.0060000000005721,-0.0163909912462469,0,0,0,fr_thigh,0,1,0,0,0,-1.57,1.57,,,,,,,,
fr_shank_link_a,-0.0142683546910511,0.0151800093841923,0.0412444032630861,0,0,0,0.171588362218643,0.000402525185338153,-2.32689244324628E-06,0.000121603746583408,0.000443410122193385,6.74295686317764E-06,9.05504025162501E-05,0,0,0,0,0,0,package://mos2026/meshes/fr_shank_link_a.STL,1,1,1,1,0,0,0,0,0,0,package://mos2026/meshes/fr_shank_link_a.STL,,FR-8/calf_link_1-1;FR-8/middle_shaft-1;FR-8/spur gear_gb-26,fr_shank_shaft_csys,fr_shank_shaft_y_axis,fr_shank_link_a,revolute,-0.116000000000264,-0.0871499999996478,0.0101000000029093,0,0,0,FR,0,1,0,0,0,-1.57,1.57,,,,,,,,
fr_shank_link_b,-0.0713122425860443,0.0128265327510646,-0.0123241952888715,0,0,0,0.0469442178090742,1.34214893953583E-05,5.86909680202014E-07,-3.37621117519969E-05,0.000135909136829527,1.01555365076328E-07,0.000123697936148473,0,0,0,0,0,0,package://mos2026/meshes/fr_shank_link_b.STL,1,1,1,1,0,0,0,0,0,0,package://mos2026/meshes/fr_shank_link_b.STL,,FR-8/calf_link_mirror-1,fr_shank_link_csys,fr_shank_link_y_axis,fr_shank_link_b,revolute,-0.0509009693534448,0.00600440931706228,0.147864045635582,0,0,0,fr_shank_link_a,0,-1,0,0,0,-1.57,1.57,,,,,,,,
RL,0.114377491085343,-0.00901538562539204,-0.000144060151242606,0,0,0,0.98518070670393,0.000917934577851091,5.94772165636536E-08,-1.41358490811801E-07,0.00265898792333122,-3.88324690937172E-07,0.00208199931423844,0,0,0,0,0,0,package://mos2026/meshes/RL.STL,0.780392156862745,0,0.0156862745098039,1,0,0,0,0,0,0,package://mos2026/meshes/RL.STL,,RL-1/leg_motor_mount_a-1;RL-1/shaft_mount-1;RL-1/hip_motor_mount-2;RL-1/leg_motor_mount_b-1;RL-1/8010motor-1;RL-1/8010motor-2;RL-1/hip_bearing_mount-1;RL-1/tapered_roller_bearing122713-2;RL-1/tapered_roller_bearing507215-1;RL-1/tapered_roller_bearing122713-1,rl_hip_csys,rl_hip_x_axis,rl_hip,revolute,0.3783,-0.0979999999760458,0,0,0,3.14159265358979,base,1,0,0,0,0,-1.57,1.57,,,,,,,,
rl_thigh_motor_gear,0,-0.0303984035950154,1.06014484309099E-12,0,0,0,0.0482357390578153,1.0744281957417E-05,7.12406343428752E-22,4.33769628068532E-21,1.25106445892168E-05,-6.16024735939491E-17,1.0744281957417E-05,0,0,0,0,0,0,package://mos2026/meshes/rl_thigh_motor_gear.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://mos2026/meshes/rl_thigh_motor_gear.STL,,RL-1/spur gear_gb-12;RL-1/thigh_motor_shaft-1,rl_thigh_motor_csys,rl_thigh_motor_y_axis,rl_thigh_motor,revolute,0.0660000000000001,0.0461499999999996,0,0,0,0,RL,0,-1,0,0,0,-1.57,1.57,,,,,,,,
rl_shank_motor_gear,2.77555756156289E-17,-0.0390538870170143,1.36202197337541E-12,0,0,0,0.0385237466196057,9.4738981050848E-06,-2.19370245874338E-21,-6.12307523690733E-22,1.02723402754827E-05,-2.78418906648244E-17,9.47389810508481E-06,0,0,0,0,0,0,package://mos2026/meshes/rl_shank_motor_gear.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mos2026/meshes/rl_shank_motor_gear.STL,,RL-1/calf_motor_shaft-1;RL-1/spur gear_gb-25,rl_shank_motor_csys,rl_shank_motor_y_axis,rl_shank_motor,revolute,0.166,0.0461499999999996,0,0,0,0,RL,0,-1,0,0,0,-1.57,1.57,,,,,,,,
rl_thigh,-0.0419206883555094,-0.0254632107674466,-0.0224043485252849,0,0,0,0.218415842102982,0.000216408745022483,1.28262258494719E-05,-0.000240720605489246,0.000728917805546161,6.85493038181706E-06,0.00053816723325558,0,0,0,0,0,0,package://mos2026/meshes/rl_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://mos2026/meshes/rl_thigh.STL,,RL-1/thigh-1;RL-1/spur gear_gb-24;RL-1/shaft_bushing-3,rl_shank_shaft_csys,rl_shank_shaft_y_axis,rl_thigh,revolute,0.115999999999958,0.0871499999996471,-0.0101000000030167,0,0,0,RL,0,-1,0,0,0,-1.57,1.57,,,,,,,,
rl_shank,0.0553397199171665,-0.00452548359017438,-0.0389694310680708,0,0,0,0.286222307372735,0.000612121045721215,-9.34235624326787E-07,0.000596058944308706,0.00130942025529625,7.85451309260405E-07,0.000712867733373934,0,0,0,0,0,0,package://mos2026/meshes/rl_shank.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mos2026/meshes/rl_shank.STL,,RL-1/outer_calf_link-1;RL-1/inner_calf_link-1;RL-1/foot-1;RL-1/foot_pad-1,rl_shank_csys,rl_shank_y_axis,rl_shank,revolute,-0.158750058695487,-0.0110000000029586,-0.0848434962982125,0,0,0,rl_thigh,0,-1,0,0,0,-1.57,1.57,,,,,,,,
rl_shank_link_a,-0.0291978585426469,-0.0151800419182435,0.0324371419885487,0,0,0,0.171587675279446,0.000266491808328554,4.7763191368494E-06,0.000196776997272178,0.000443409096749016,-5.29808666983445E-06,0.000226582739117697,0,0,0,0,0,0,package://mos2026/meshes/rl_shank_link_a.STL,1,1,1,1,0,0,0,0,0,0,package://mos2026/meshes/rl_shank_link_a.STL,,RL-1/calf_link_1-1;RL-1/middle_shaft-1;RL-1/spur gear_gb-26,rl_shank_shaft_csys,rl_shank_shaft_y_axis,rl_shank_link_a,revolute,0.115999999999958,0.0871499999996471,-0.0101000000030167,0,0,0,RL,0,-1,0,0,0,-1.57,1.57,,,,,,,,
rl_shank_link_b,-0.0609169177929412,-0.0128230771771025,-0.0390776785502438,0,0,0,0.046938967984453,5.42525204889845E-05,-4.99307402883211E-07,-6.30443742516989E-05,0.000135875337919216,-3.19210828049394E-07,8.28321057084224E-05,0,0,0,0,0,0,package://mos2026/meshes/rl_shank_link_b.STL,1,1,1,1,0,0,0,0,0,0,package://mos2026/meshes/rl_shank_link_b.STL,,RL-1/calf_link_2-1,rl_shank_link_csys,rl_shank_link_y_axis,rl_shank_link_b,revolute,-0.104798293448273,-0.00600440930785714,0.116069102362285,0,0,0,rl_shank_link_a,0,1,0,0,0,-1.57,1.57,,,,,,,,
RR,0.108292536124551,0.0090153856722391,-0.000144060040353705,0,0,0,0.985180705705079,0.000917934575007807,-7.85868808047232E-09,1.41358958023693E-07,0.00265898792194977,3.88340247231123E-07,0.00208199931274182,0,0,0,0,0,0,package://mos2026/meshes/RR.STL,1,1,1,1,0,0,0,0,0,0,package://mos2026/meshes/RR.STL,,RR-1/hip_motor_mount-2;RR-1/leg_motor_mount_a-1;RR-1/hip_bearing_mount-1;RR-1/leg_motor_mount_b-1;RR-1/8010motor-1;RR-1/8010motor-2;RR-1/tapered_roller_bearing507215-1;RR-1/tapered_roller_bearing122713-1;RR-1/shaft_mount-1;RR-1/tapered_roller_bearing122713-2,rr_hip_csys,rr_hip_x_axis,rr_hip,revolute,0.3723,0.0980000000239551,0,0,0,3.14159265358979,base,1,0,0,0,0,-1.57,1.57,,,,,,,,
rr_shank_motor_gear,2.77555756156289E-17,0.0390538870170143,-1.36203932166896E-12,0,0,0,0.0385237466196057,9.4738981050848E-06,2.14962657059001E-21,-8.26647307421798E-22,1.02723402754827E-05,-2.78458475396481E-17,9.47389810508481E-06,0,0,0,0,0,0,package://mos2026/meshes/rr_shank_motor_gear.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://mos2026/meshes/rr_shank_motor_gear.STL,,RR-1/spur gear_gb-25;RR-1/calf_motor_shaft-1,rr_shank_motor_csys,rr_shank_motor_y_axis,rr_shank_motor,revolute,0.16,-0.0461499999999999,0,0,0,0,RR,0,-1,0,0,0,-1.57,1.57,,,,,,,,
rr_thigh_motor_gear,-5.25690602160012E-14,0.0303984035950156,-1.08227457918392E-12,0,0,0,0.0482357390578152,1.0744281957417E-05,-1.39109719005168E-21,4.24006601371296E-21,1.25106445892168E-05,-6.16021100654887E-17,1.0744281957417E-05,0,0,0,0,0,0,package://mos2026/meshes/rr_thigh_motor_gear.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://mos2026/meshes/rr_thigh_motor_gear.STL,,RR-1/spur gear_gb-12;RR-1/thigh_motor_shaft-1,rr_thigh_motor_csys,rr_thigh_motor_y_axis,rr_thigh_motor,fixed,0.0600000000000001,-0.0461500000000008,0,0,0,0,RR,0,0,0,0,0,-1.57,1.57,,,,,,,,
rr_thigh,-0.0436152408887544,0.00646320806564388,-0.0188947359569888,0,0,0,0.218415934959633,0.000179258932596873,-1.33446994290097E-05,-0.000211217994733,0.00072891803387684,-5.78110892030122E-06,0.000575317282889049,0,0,0,0,0,0,package://mos2026/meshes/rr_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://mos2026/meshes/rr_thigh.STL,,RR-1/thigh-1;RR-1/spur gear_gb-24;RR-1/shaft_bushing-3,rr_thigh_shaft_csys,rr_thigh_shaft_y_axis,rr_thigh,fixed,0.110000000000005,-0.0681500000003529,-0.0100999999976221,0,0,0,RR,0,0,0,0,0,-1.57,1.57,,,,,,,,
rr_shank,0.0439081668963137,-0.00347900751211649,-0.0515088268207761,0,0,0,0.286223232313613,0.000905545686299827,7.10011725223506E-07,0.00054658641026097,0.00130942833689793,-9.94056271527513E-07,0.00041945122859947,0,0,0,0,0,0,package://mos2026/meshes/rr_shank.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mos2026/meshes/rr_shank.STL,,RR-1/outer_calf_mirror-1;RR-1/inner_calf_mirror-1;RR-1/foot_mirror-1;RR-1/foot_pad-1,rr_shank_csys,rr_shank_y_axis,rr_shank,revolute,-0.165167239762358,-0.00200000000249487,-0.0715526582963538,0,0,0,rr_thigh,0,1,0,0,0,-1.57,1.57,,,,,,,,
rr_shank_link_a,-0.0217234424733285,0.0151800211823553,0.037852012509917,0,0,0,0.171588117249831,0.000346990992520944,-3.5458408756055E-06,0.000170377800759928,0.000443409758382308,6.1894491779289E-06,0.000146084226798699,0,0,0,0,0,0,package://mos2026/meshes/rr_shank_link_a.STL,1,1,1,1,0,0,0,0,0,0,package://mos2026/meshes/rr_shank_link_a.STL,,RR-1/calf_link_1-1;RR-1/spur gear_gb-26;RR-1/middle_shaft-1,rr_shank_shaft_csys,rr_shank_shaft_y_axis,rr_shank_link_a,revolute,0.109999999999999,-0.0871500000003524,-0.0100999999969609,0,0,0,RR,0,1,0,0,0,-1.57,1.57,,,,,,,,
rr_shank_link_b,-0.0632828173254183,0.0128264699785237,-0.0351066441945849,0,0,0,0.0469434168092638,4.6327173589254E-05,5.22928187760542E-07,-6.07055155523433E-05,0.00013587277110655,2.91268067119878E-07,9.07552272909915E-05,0,0,0,0,0,0,package://mos2026/meshes/rr_shank_link_b.STL,1,1,1,1,0,0,0,0,0,0,package://mos2026/meshes/rr_shank_link_b.STL,,RR-1/小腿连杆镜像-1,rr_shank_link_csys,rr_shank_link_y_axis,rr_shank_link_b,revolute,-0.0776325273569684,0.00600440931663918,0.135749310749661,0,0,0,rr_shank_link_a,0,-1,0,0,0,-1.57,1.57,,,,,,,,
